Symbol,NumAppearances
RICK,2
4755,2
CHILE,2
COPEC,2
JBSS3.SA,2
EEM,2
COLO B,2
PNDORA,2
00868.HK,2
CERN,2
BRDT3.SA,2
ELEKTRA.MX,2
3045.TW,2
5880.TW,2
CROMPTON.B,2
3529.TW,2
500271.BO,2
NAVI,2
ODP,2
6370,2
DIA.MI,2
06823.HK,2
RMS.PA,2
NOKIA,2
TLKM,2
BMRI,2
ASII,2
CPIN,2
BBNI,2
LUMI,2
TEVA,2
POLI,2
ICT,2
PIDILITIND,2
531642.BO,2
ETISALAT,2
FAB,2
AOT-R,2
PAGP,2
EQNR,2
MOWI,2
YAR,2
ORK,2
TOM,2
ADE,2
GJF,2
MEL.NZ,2
MCY.NZ,2
LT.BO,2
SBIN.BO,2
ALE,2
PKN,2
PEO,2
DNP,2
PGN,2
CDR,2
BVN,2
ATUS,2
COMM,2
VSAT,2
9022,2
KRX.L,2
8015,2
KRC,2
LI.PA,2
CS.PA,2
ASM,2
PROX,2
PCT,2
DCI,2
WOW.AX,2
ERIC B,2
VOLV B,2
DLG.L,2
TKA.DE,2
4523,2
3382,2
4506,2
UMI,2
AGS,2
6033,2
HAE,2
PHIA,2
EBS,2
WIE,2
AIR,2
S68.SI,2
F34.SI,2
LDL,2
LPI,2
1303.TW,2
BME.L,2
DPH.L,2
IMI.L,2
FEMSAUBD.M,2
TLEVISACPO,2
BIMBOA.MX,2
DQ,2
3023.TW,2
ABEV3.SA,2
MGLU3.SA,2
WEGE3.SA,2
EMBR3.SA,2
042700.KS,2
FSR.JO,2
MTN.JO,2
SBK.JO,2
CPI.JO,2
SOL.JO,2
ACAD,2
HQH,2
ARDC,2
CC,2
EXP,2
NN,2
3269,2
FEMB,2
FPE,2
DCOM,2
CLNE,2
001230.KS,2
298020.KS,2
KBR,2
BRKM5.SA,2
8454.TW,2
03818,2
TTTXX,2
DGL,2
ATKR,2
008560.KS,2
PAH3.DE,2
SOON,2
KEY.TO,2
01038.L,2
FISV,2
RPD,2
RADA,2
ERIC,2
3563,2
3288,2
EVR.L,2
ITSA4.SA,2
ISP.MI,2
STLA,2
J,2
JCOM,2
LHCG,2
NVTK,2
GMKN,2
TESXU1,2
ANG.JO,2
VHM,2
CHS,2
EXPR,2
OII,2
IBN.BO,2
SWAV,2
MNRL,2
CTT,2
KEY,2
SHL.DE,2
NEXI.MI,2
CPNG.KS,2
BSY,2
XRAY,2
FBHS,2
TPR,2
MCHP,2
PBR.SA,2
CDEV,2
FCNCA,2
CF,2
GLW,2
BWA,2
09999,2
BC,2
PNW,2
ATO,2
MOS,2
TKR,2
GVAL,2
FYLD,2
QMOM,2
SPEM,2
CRSR,2
SWCH,2
8951,2
ABC,2
KRE,2
VTV,2
SCHC,2
NCM.AX,2
AEM.TO,2
GDX.AX,2
GDXJ.IR,2
EVN.AX,2
YRI.TO,2
AGI.TO,2
VIV.PA,2
TCL.AX,2
AENA.BC,2
ATL.MI,2
000568,2
600031,2
507685.BO,2
500124.BO,2
532977.BO,2
500087.BO,2
SRPT,2
OR.TO,2
PPC,2
NVTA,2
PEGA,2
ALRS,2
8088,2
PETS.L,2
ISA,2
BCOLOMBIA,2
GEB,2
NUTRESA,2
PFDAVVNDA,2
CLOU,2
HYRE,2
INVZ,2
GRUB,2
BLDP.TO,2
NEL,2
CWR.L,2
NTRA,2
BDJ,2
MSM,2
RYN,2
SEIC,2
GKOS,2
VCRA,2
HYT,2
CBOE,2
CME,2
TRV,2
IAU,2
MEDP,2
VIR,2
TDUP,2
TKWY,2
BIGC,2
TGLS,2
TELIA,2
SDAZ5,2
SDAZ4,2
SDAZ3,2
SDAZ2,2
MRK.DE,2
TLS.AX,2
1928,2
ACS.BC,2
TMST,2
01308.HK,2
HDFCBANK.B,2
532978.BO,2
9020,2
GII,2
GPN,2
MG.TO,2
SNOW,2
DOMO,2
FUBO,2
HQY,2
HWM,2
PLTK,2
6701,2
6361,2
KC,2
OC,2
LEA,2
Y,2
ED,2
FMC,2
ECP,2
KNT.TO,2
WDO.TO,2
ITT,2
WLTW.L,2
YNDX,2
4901,2
SHL.AX,2
SMG,2
TTEC,2
GWW,2
000651,2
600887,2
CGBD,2
RLI,2
THG,2
OZK,2
UMPQ,2
GNL,2
OPI,2
BPYU,2
MORN,2
CHD,2
SCHO,2
BCPC,2
JJSF,2
MNKD,2
OCGN,2
NDSN,2
AMS.TW,2
HYD,2
TLND,2
MQY,2
MHD,2
NZF,2
VOD.L,2
MT.SA,2
HEXO.TO,2
AM,2
FSIXX,2
HASI,2
NRZ,2
BXMT,2
PMT,2
ON,2
CIT,2
SKLZ,2
NNN,2
BNL,2
EPR,2
EPRT,2
RGA,2
BEN,2
ALGN,2
ANSS,2
INVH,2
ELS,2
SUI,2
NCR,2
DHER.DE,2
PEAK,2
SYF,2
PBI,2
LKFN,2
USPH,2
SNA,2
DLB,2
TT,2
NFJ,2
III.L,2
AES,2
DHRPA,2
CNPPB,2
GSPD,2
CPJ,2
ATHPA,2
USBPH,2
DT,2
TPC,2
BDXB,2
EDPR.BC,2
NOS,2
JPMPL,2
JPMPD,2
BACPM,2
SAVA,2
MCK,2
UFPI,2
NSIT,2
FUL,2
SNY.PA,2
TRNO,2
HRI,2
SNBR,2
TBI,2
ADS,2
WDFC,2
LGIH,2
SWN,2
HP,2
CBU,2
PPBI,2
BKU,2
ABCB,2
LXP,2
CNMD,2
REZI,2
AJRD,2
LTHM,2
VIAV,2
SJI,2
COTY,2
IUSS,2
XMLV,2
SPLV,2
XSLV,2
VRIG,2
PBTP,2
QTS,2
HZNP,2
ASXC,2
EWY,2
NBR,2
NWL,2
SSB,2
VLY,2
SPSB,2
ICVT,2
CREE,2
CA.PA,2
VGIT,2
DVA,2
MOO,2
JAR.L,2
KMX,2
LANC,2
URI,2
2324.TW,2
HCSG,2
SSTK,2
02333,2
HXL,2
EIM,2
CORE,2
SPTN,2
SNX,2
INT,2
IWD,2
WSP.TO,2
AQN.TO,2
CAE.TO,2
WBSN21,2
HRB,2
ALDAR,2
CSL,2
SSPY,2
SMDY,2
SSLY,2
HCI,2
CUBI,2
LITE,2
YELP,2
EQC,2
IDA,2
ATR,2
LSTR,2
SPYG,2
CCIV,2
REG,2
ALLE,2
KHC,2
IWS,2
SDIV,2
HSTM,2
OSIS,2
2357.TW,2
CCO.TO,2
KAP,2
NXE.TO,2
DML.TO,2
EFR,2
PDN.AX,2
U.TO,2
UEC,2
RTYU21,2
AON,2
OMF,2
CCEP.L,2
PII,2
BOX,2
BDN,2
HIMX,1
SBSW.JO,1
CX.MX,1
L,1
JWN,1
EVH,1
JHG,1
QSR.TO,1
INVA,1
XRX,1
CEMB,1
003690.KS,1
MTS.AX,1
2383.TW,1
JMIA.DE,1
BCC,1
ESGR,1
600030,1
RO,1
BSX,1
DBC,1
SMH,1
SKYY,1
DBA,1
KCE,1
RYT,1
CVA,1
WIRE,1
SPXC,1
FSS,1
MWA,1
ROLL,1
HDG,1
RINF,1
RALS,1
TOLZ,1
PEX,1
MRGR,1
FUT,1
SRET,1
RA,1
EDF,1
ETB,1
DIAX,1
DMO,1
ETJ,1
TEI,1
NS,1
IDEV,1
IAGG,1
WBT,1
Z,1
PATH,1
GBTC,1
VGT,1
VHT,1
VCR,1
VOX,1
VIS,1
VDC,1
NFRA,1
GUNR,1
GQRE,1
002709,1
000799,1
603486,1
600089,1
000009,1
002340,1
002074,1
600460,1
300285,1
601233,1
AER,1
SBRY.L,1
BWY.L,1
STJ.L,1
TATE.L,1
MKS.L,1
BEKB,1
R,1
AL,1
TRN.L,1
00696,1
TRIP,1
CERE,1
CLDX,1
NKTX,1
