Symbol,Name,NumAppearances,Holders
C,Citigroup Inc,20,"[('KBWB', 0.077), ('FTXO', 0.076), ('XLF', 0.036), ('SPVU', 0.033), ('PVAL', 0.032)]"
ROKU,Roku Inc Class A,19,"[('ARKK', 0.065), ('IEME', 0.055), ('ARKW', 0.046), ('QQQN', 0.046), ('SUBZ', 0.046)]"
DLR,Digital Realty Trust Inc,19,"[('VPN', 0.095), ('FPRO', 0.076), ('ICF', 0.051), ('ERTH', 0.045), ('XLRE', 0.045)]"
GS,Goldman Sachs Group Inc,19,"[('DIA', 0.072), ('DDM', 0.054), ('DIVO', 0.053), ('UDOW', 0.047), ('EGIS', 0.043)]"
EQIX,Equinix Inc,19,"[('SRVR', 0.156), ('SPRE', 0.123), ('VPN', 0.119), ('REIT', 0.091), ('ICF', 0.085)]"
LOW,Lowe's Companies Inc,19,"[('PKB', 0.053), ('WBIF', 0.048), ('ITB', 0.046), ('SXQG', 0.039), ('XHB', 0.036)]"
AMD,Advanced Micro Devices Inc,19,"[('WUGI', 0.086), ('ESPO', 0.081), ('FIVG', 0.057), ('SMH', 0.05), ('TENG', 0.048)]"
DOCU,DocuSign Inc,19,"[('FDG', 0.054), ('MID', 0.054), ('TPAY', 0.051), ('IHAK', 0.045), ('CLDL', 0.042)]"
IDXX,IDEXX Laboratories Inc,19,"[('PAWZ', 0.105), ('LCG', 0.083), ('MOO', 0.074), ('FIW', 0.044), ('PTH', 0.044)]"
DHR,Danaher Corp,19,"[('IHI', 0.101), ('PIO', 0.084), ('VIRS', 0.052), ('CWS', 0.045), ('MBCC', 0.045)]"
CVS,CVS Health Corp,18,"[('IHF', 0.124), ('FTXD', 0.058), ('NVQ', 0.054), ('GBLO', 0.049), ('SPVU', 0.047)]"
QQQ,"Invesco QQQ Trust, Series 1",18,"[('QQD', 0.99), ('QQC', 0.986), ('DWUS', 0.505), ('QPX', 0.39), ('VCAR', 0.371)]"
NTLA,Intellia Therapeutics Inc,18,"[('GNOM', 0.071), ('IDNA', 0.065), ('HELX', 0.063), ('DWAS', 0.012), ('XBI', 0.012)]"
TRP.TO,TC Energy Corp,18,"[('MLPX', 0.085), ('EINC', 0.077), ('ENFR', 0.073), ('TPYP', 0.072), ('USAI', 0.07)]"
6758,Sony Group Corp,18,"[('HEWJ', 0.031), ('DBJP', 0.029), ('GSJY', 0.028), ('BBJP', 0.027), ('FLJH', 0.027)]"
GNRC,Generac Holdings Inc,18,"[('IVDG', 0.029), ('FEVR', 0.028), ('RPG', 0.022), ('FSMO', 0.016), ('FXR', 0.016)]"
TECH,Bio-Techne Corp,18,"[('XMMO', 0.034), ('FRTY', 0.03), ('BFTR', 0.028), ('OUSM', 0.027), ('TADS', 0.018)]"
ACN,Accenture PLC Class A,18,"[('CIBR', 0.059), ('WBIL', 0.05), ('SXQG', 0.043), ('VNSE', 0.038), ('PRN', 0.036)]"
COP,ConocoPhillips,18,"[('FENY', 0.061), ('JHME', 0.058), ('NANR', 0.049), ('RYE', 0.047), ('XLE', 0.046)]"
NFLX,Netflix Inc,18,"[('FNGS', 0.1), ('SUBZ', 0.057), ('JHCS', 0.054), ('VIRS', 0.051), ('EWCO', 0.049)]"
TSM.TW,Taiwan Semiconductor Manufacturing Co Ltd ADR,17,"[('ADRE', 0.221), ('SMH', 0.141), ('FRDM', 0.071), ('GMF', 0.062), ('DMRE', 0.051)]"
BMY,Bristol-Myers Squibb Company,17,"[('PPH', 0.051), ('IEIH', 0.046), ('IHE', 0.046), ('XPH', 0.046), ('LBAY', 0.042)]"
WELL,Welltower Inc,17,"[('REZ', 0.078), ('FPRO', 0.048), ('ICF', 0.042), ('EWRE', 0.037), ('XLRE', 0.037)]"
CROX,Crocs Inc,17,"[('PEZ', 0.042), ('DWEQ', 0.028), ('FLQS', 0.011), ('FNY', 0.01), ('PLTL', 0.009)]"
BIIB,Biogen Inc,17,"[('PKW', 0.058), ('ZIG', 0.048), ('IBBQ', 0.041), ('IBB', 0.038), ('COWZ', 0.021)]"
FMG.AX,Fortescue Metals Group Ltd,17,"[('DVYA', 0.046), ('FTRI', 0.046), ('DOO', 0.032), ('IDV', 0.028), ('DTH', 0.026)]"
MO,Altria Group Inc,17,"[('WBIY', 0.047), ('XLP', 0.043), ('IECS', 0.04), ('DTN', 0.036), ('FORH', 0.035)]"
WMB,Williams Companies Inc,17,"[('MLPX', 0.08), ('TPYP', 0.073), ('USAI', 0.072), ('FTXN', 0.07), ('EINC', 0.063)]"
XLK,SPDR Select Sector Fund - Techn,16,"[('XLSR', 0.417), ('QPX', 0.303), ('SSUS', 0.277), ('QPT', 0.178), ('MPRO', 0.151)]"
INTU,Intuit Inc,16,"[('FINX', 0.063), ('IGV', 0.054), ('SHE', 0.037), ('MILN', 0.035), ('TDV', 0.033)]"
SE.SI,Sea Ltd ADR,16,"[('WUGI', 0.076), ('HERO', 0.068), ('ESPO', 0.067), ('BUYZ', 0.06), ('FPXI', 0.054)]"
TWLO,Twilio Inc A,16,"[('LRNZ', 0.068), ('CLOU', 0.046), ('MID', 0.046), ('ARKW', 0.039), ('ARKK', 0.037)]"
KR,The Kroger Co,16,"[('GBLO', 0.05), ('FXG', 0.045), ('JHMS', 0.04), ('STNC', 0.03), ('LVHD', 0.025)]"
AVB,AvalonBay Communities Inc,16,"[('REIT', 0.068), ('REZ', 0.066), ('NURE', 0.05), ('SPRE', 0.045), ('PPTY', 0.04)]"
SNAP,Snap Inc Class A,16,"[('VPOP', 0.233), ('FPX', 0.07), ('XDAT', 0.053), ('LOUP', 0.034), ('MILN', 0.032)]"
CRWD,CrowdStrike Holdings Inc Class A,16,"[('VCLO', 0.249), ('LRNZ', 0.097), ('BUG', 0.066), ('CIBR', 0.064), ('PXQ', 0.055)]"
CCI,Crown Castle International Corp,16,"[('SRVR', 0.147), ('VPN', 0.139), ('FPRO', 0.097), ('XLRE', 0.09), ('ICF', 0.08)]"
TTE.PA,TotalEnergies SE,16,"[('FILL', 0.058), ('GNR', 0.036), ('FEZ', 0.034), ('FIDI', 0.032), ('FLV', 0.028)]"
BATS.L,British American Tobacco PLC,16,"[('IDV', 0.049), ('EUDG', 0.044), ('EWU', 0.034), ('HEWU', 0.034), ('SCHY', 0.034)]"
KO,Coca-Cola Co,16,"[('IECS', 0.113), ('XLP', 0.099), ('FSTA', 0.088), ('JHMS', 0.06), ('DJD', 0.05)]"
OMCL,Omnicell Inc,16,"[('PSCH', 0.052), ('EDOC', 0.044), ('GLRY', 0.024), ('XSMO', 0.018), ('IJT', 0.013)]"
SAIA,Saia Inc,16,"[('PSCI', 0.031), ('XTN', 0.026), ('XSMO', 0.022), ('IJT', 0.011), ('SLYG', 0.011)]"
KMI,Kinder Morgan Inc Class P,16,"[('MLPX', 0.086), ('TPYP', 0.075), ('USAI', 0.072), ('EINC', 0.07), ('FTXN', 0.069)]"
DUK,Duke Energy Corp,16,"[('XLU', 0.085), ('NLR', 0.081), ('IDU', 0.076), ('FUTY', 0.073), ('VPU', 0.073)]"
ADM,Archer-Daniels Midland Co,16,"[('FTXG', 0.075), ('VEGI', 0.064), ('NANR', 0.062), ('MOO', 0.05), ('FTRI', 0.041)]"
RUN,Sunrun Inc,15,"[('TAN', 0.072), ('ACES', 0.059), ('RNRG', 0.046), ('QCLN', 0.036), ('CNRG', 0.032)]"
NEM,Newmont Corp,15,"[('RING', 0.218), ('SGDM', 0.124), ('XLB', 0.054), ('SLVP', 0.053), ('LBAY', 0.051)]"
MCD,McDonald's Corp,15,"[('DIVO', 0.056), ('XLY', 0.045), ('DIA', 0.044), ('IECS', 0.044), ('FDIS', 0.032)]"
DDD,3D Systems Corp,15,"[('PRNT', 0.088), ('PTF', 0.05), ('ARKQ', 0.035), ('PSCT', 0.034), ('XSMO', 0.018)]"
6861,Keyence Corp,15,"[('BOTZ', 0.065), ('HEWJ', 0.025), ('IDMO', 0.024), ('DBJP', 0.023), ('JIG', 0.022)]"
GILD,Gilead Sciences Inc,15,"[('IBBQ', 0.068), ('IBB', 0.063), ('BIB', 0.057), ('WBIY', 0.05), ('IEIH', 0.044)]"
02269,WuXi Biologics (Cayman) Inc Registered Shs Unitary 144A/Reg S,15,"[('CHIH', 0.111), ('CHB', 0.106), ('KURE', 0.089), ('HELX', 0.067), ('FXI', 0.046)]"
LIN.L,Linde PLC,15,"[('XLB', 0.159), ('FMAT', 0.121), ('DAX', 0.102), ('HEDJ', 0.065), ('JHMA', 0.062)]"
SRE,Sempra Energy,15,"[('UTES', 0.058), ('ECLN', 0.052), ('XLU', 0.047), ('IDU', 0.042), ('FUTY', 0.04)]"
AMAT,Applied Materials Inc,14,"[('FTXL', 0.079), ('IVSG', 0.05), ('SMH', 0.045), ('SOXQ', 0.039), ('MTUM', 0.031)]"
REGN,Regeneron Pharmaceuticals Inc,14,"[('BUL', 0.051), ('ARKG', 0.041), ('IBB', 0.041), ('IBBQ', 0.041), ('IEIH', 0.035)]"
DE,Deere & Co,14,"[('VEGI', 0.199), ('FTAG', 0.104), ('HAP', 0.084), ('MOO', 0.083), ('CFCV', 0.047)]"
ZM,Zoom Video Communications Inc,14,"[('EDUT', 0.064), ('SXQG', 0.05), ('CLOU', 0.046), ('ARKK', 0.044), ('CLDL', 0.036)]"
SPG,Simon Property Group Inc,14,"[('ICF', 0.052), ('XLRE', 0.046), ('BBRE', 0.038), ('FRI', 0.038), ('USRT', 0.038)]"
UNP,Union Pacific Corp,14,"[('TPOR', 0.07), ('VNSE', 0.051), ('INFR', 0.05), ('XLI', 0.047), ('FTXR', 0.039)]"
BILI,Bilibili Inc ADR,14,"[('CHIC', 0.073), ('ESPO', 0.05), ('SUBZ', 0.047), ('KWEB', 0.046), ('WUGI', 0.045)]"
DAI.DE,Daimler AG,14,"[('CARZ', 0.074), ('DAX', 0.053), ('HEWG', 0.048), ('FLGR', 0.047), ('DBGR', 0.045)]"
9434,SoftBank Corp,14,"[('FPXI', 0.044), ('IHDG', 0.04), ('IQDG', 0.04), ('LVHI', 0.024), ('EFAS', 0.021)]"
TCS.BO,Tata Consultancy Services Ltd,14,"[('PIN', 0.056), ('INDY', 0.051), ('INDA', 0.049), ('FLIN', 0.048), ('GLIN', 0.047)]"
GGG,Graco Inc,14,"[('DVOL', 0.028), ('XMLV', 0.015), ('IJK', 0.012), ('IVOG', 0.012), ('MDYG', 0.012)]"
OKE,ONEOK Inc,14,"[('USAI', 0.073), ('MLPX', 0.069), ('EINC', 0.063), ('TPYP', 0.057), ('ENFR', 0.053)]"
