Bigram,Name,SumWeights,Holders,DiffEntries,DiffValue
"('MXL', 'SCHW')","('MaxLinear Inc', 'Charles Schwab Corp')",0.059,"[('BOUT', 0.059)]",New,New+0.059
"('MXL', 'RCII')","('MaxLinear Inc', 'Rent-A-Center Inc')",0.059,"[('BOUT', 0.059)]",New,New+0.059
"('RCII', 'SCHW')","('Rent-A-Center Inc', 'Charles Schwab Corp')",0.059,"[('BOUT', 0.059)]",New,New+0.059
"('SNPS', 'ZBRA')","('Synopsys Inc', 'Zebra Technologies Corp')",0.059,"[('IQM', 0.059)]",New,New+0.059
"('AXON', 'SNPS')","('Axon Enterprise Inc', 'Synopsys Inc')",0.059,"[('IQM', 0.059)]",New,New+0.059
"('MNRPC', 'NLYPF')","('Monmouth Real Estate Investment Corp C', 'Annaly Capital Management Inc Cum Conv Red Pfd Registered Shs Series -F-')",0.059,"[('PFFR', 0.059)]",New,New+0.059
"('OSK', 'TKR')","('Oshkosh Corp', 'The Timken Co')",0.059,"[('VNMC', 0.059)]",New,New+0.059
"('NVT.L', 'OSK')","('nVent Electric PLC', 'Oshkosh Corp')",0.059,"[('VNMC', 0.059)]",New,New+0.059
"('OSK', 'SKX')","('Oshkosh Corp', 'Skechers USA Inc')",0.059,"[('VNMC', 0.059)]",New,New+0.059
"('CR', 'OSK')","('Crane Co', 'Oshkosh Corp')",0.059,"[('VNMC', 0.059)]",New,New+0.059
"('ADS', 'NXST')","('Alliance Data Systems Corp', 'Nexstar Media Group Inc Class A')",0.059,"[('VNMC', 0.059)]",New,New+0.059
"('CR', 'TKR')","('Crane Co', 'The Timken Co')",0.059,"[('VNMC', 0.059)]",New,New+0.059
"('NVT.L', 'SKX')","('nVent Electric PLC', 'Skechers USA Inc')",0.059,"[('VNMC', 0.059)]",New,New+0.059
"('CR', 'NVT.L')","('Crane Co', 'nVent Electric PLC')",0.059,"[('VNMC', 0.059)]",New,New+0.059
"('CR', 'SKX')","('Crane Co', 'Skechers USA Inc')",0.059,"[('VNMC', 0.059)]",New,New+0.059
"('BGS', 'FSP')","('B&G Foods Inc', 'Franklin Street Properties Corp')",0.059,"[('XSHD', 0.059)]",New,New+0.059
"('FSP', 'GNL')","('Franklin Street Properties Corp', 'Global Net Lease Inc')",0.059,"[('XSHD', 0.059)]",New,New+0.059
"('ILPT', 'OPI')","('Industrial Logistics Properties Trust', 'Office Properties Income Trust')",0.059,"[('XSHD', 0.059)]",New,New+0.059
"('ILPT', 'VGR')","('Industrial Logistics Properties Trust', 'Vector Group Ltd')",0.059,"[('XSHD', 0.059)]",New,New+0.059
"('BDN', 'ILPT')","('Brandywine Realty Trust', 'Industrial Logistics Properties Trust')",0.059,"[('XSHD', 0.059)]",New,New+0.059
"('IR', 'MSCI')","('Ingersoll Rand Inc', 'MSCI Inc')",0.058,"[('BOUT', 0.058)]",New,New+0.058
"('IR', 'SCHW')","('Ingersoll Rand Inc', 'Charles Schwab Corp')",0.058,"[('BOUT', 0.058)]",New,New+0.058
"('CRL', 'MOS')","('Charles River Laboratories International Inc', 'The Mosaic Co')",0.058,"[('BOUT', 0.058)]",New,New+0.058
"('MSCI', 'MXL')","('MSCI Inc', 'MaxLinear Inc')",0.058,"[('BOUT', 0.058)]",New,New+0.058
"('MSCI', 'SCHW')","('MSCI Inc', 'Charles Schwab Corp')",0.058,"[('BOUT', 0.058)]",New,New+0.058
"('MSCI', 'RCII')","('MSCI Inc', 'Rent-A-Center Inc')",0.058,"[('BOUT', 0.058)]",New,New+0.058
