Symbol,Name,SumWeights,DiffEntries,DiffValue
02689,Nine Dragons Paper (Holdings) Ltd,0.028299998,-15,0.0
BT.A.L,BT Group PLC,0.028299998,-15,0.0
TEI,Templeton Emerging Markets Income,0.028199999,-15,0.0
BKCC,BlackRock Capital Investment Corp,0.028199999,-16,0.0
GETI B,Getinge AB Class B,0.028100000300000004,-16,0.0
FTS.TO,Fortis Inc,0.0280999996,-16,0.0
FGR.PA,Eiffage SA,0.028099999,-16,0.0
CAP,CAP SA,0.028099999,-16,0.0
FAST,Fastenal Co,0.028099999,-16,0.0
002032,Zhejiang Supor Co Ltd,0.028099999,-16,0.0
WHF,WhiteHorse Finance Inc,0.028099999,-16,0.0
TEG.DE,TAG Immobilien AG,0.027999999,-16,0.0
SCHWPJ,Charles Schwab Corp 4.45% PRF PERPETUAL USD 25 - Ser J 1/40th int,0.027999999,-17,0.0
603882,Guangzhou Kingmed Diagnostics Group Co Ltd Class A,0.027999999,-17,0.0
PATH,UiPath Inc Class A,0.0279,-17,0.0
LPSN,LivePerson Inc,0.0279,-17,0.0
MODV,ModivCare Inc,0.027700000000000002,-16,0.0
00285,BYD Electronic (International) Co Ltd,0.0277,-15,0.0
FUNO 11.MX,Fibra Uno Administracion SA de CV Certificados Bursatiles Fiduciarios Inmob,0.0277,-15,0.0
GPT.AX,GPT Group,0.0277,-15,0.0
PCY,Invesco Emerging Markets Sovere,0.0277,-15,0.0
NLYPF,Annaly Capital Management Inc Cum Conv Red Pfd Registered Shs Series -F-,0.0276,-15,0.0
ITT,ITT Inc,0.0274999998,-16,0.0
VLY,Valley National Bancorp,0.027400000200000003,-16,0.0
600030,CITIC Securities Co Ltd,0.0274,-16,0.0
MRO.L,Melrose Industries PLC,0.0274,-18,0.0
CSL,Carlisle Companies Inc,0.0274,-18,0.0
GBIL,Goldman Sachs Access Treasury 0,0.0273,-19,0.0
CTF1,Cotton No 2 Future Dec 21,0.0273,-19,0.0
CG,The Carlyle Group Inc,0.0273,-19,0.0
FSIXX,FidelityÂ® Inv MM Fds Treasury Only I,0.027299999999999998,-19,0.0
01288,Agricultural Bank of China Ltd Class H,0.0272,-19,0.0
MEI,Methode Electronics Inc,0.0272,-19,0.0
500295.BO,Vedanta Ltd,0.0272,-19,0.0
STT,State Street Corporation,0.0272,-19,0.0
4739,ITOCHU Techno-Solutions Corp,0.0271,-19,0.0
COV.PA,Covivio SA,0.027,-19,0.0
EVK.DE,Evonik Industries AG,0.027,-19,0.0
UMPQ,Umpqua Holdings Corp,0.027,-19,0.0
5110,Sumitomo Rubber Industries Ltd,0.026999999999999996,-19,0.0
GAPB.MX,Grupo Aeroportuario del Pacifico SAB de CV Class B,0.0269,-19,0.0
BWA,BorgWarner Inc,0.0269,-19,0.0
KOD,Kodiak Sciences Inc,0.0269,-19,0.0
UHAL,Amerco Inc,0.0269,-19,0.0
SEIC,SEI Investments Co,0.0268999998,-19,0.0
AAWW,Atlas Air Worldwide Holdings Inc,0.026799998999999998,-19,0.0
JPHY,JPMorgan Research Enhanced High,0.026700001,-18,0.0
LLOY.L,Lloyds Banking Group PLC,0.026600001,-18,0.0
NWBI,Northwest Bancshares Inc,0.026600001,-18,0.0
HRL,Hormel Foods Corp,0.026600000000000002,-18,0.0
IVZ,Invesco Ltd,0.0265999998,-18,0.0
00008.HK,PCCW Ltd,0.026500002,-18,0.0
2382.TW,Quanta Computer Inc,0.026500002,-18,0.0
BYD.TO,Boyd Group Services Inc Ordinary Shares,0.026500002,-17,0.0
JLL,Jones Lang LaSalle Inc,0.026499999,-17,0.0
01268,China MeiDong Auto Holdings Ltd,0.026400002,-18,0.0
600426,Shandong Hualu-hengsheng Chemical Co Ltd,0.026400002,-18,0.0
WDP,Warehouses De Pauw,0.026300002,-17,0.0
UFPT,UFP Technologies Inc,0.026300002,-17,0.0
CSR,Centerspace,0.026300002,-17,0.0
CSSEP,Chicken Soup for the Soul Entertainment Inc PRF PERPETUAL USD - Ser A,0.026300002,-17,0.0
6361,Ebara Corp,0.026200001,-17,0.0
GM1,Fin Fut Uk Gilt Ice 09/28/21,0.026199998,-17,0.0
00853,MicroPort Scientific Corp,0.026099999,-15,0.0
ITC.BO,ITC Ltd,0.026099999,-15,0.0
COLL,Collegium Pharmaceutical Inc,0.026099999,-15,0.0
BEEM,Beam Global,0.026099999,-15,0.0
FE,FirstEnergy Corp,0.026000000000000002,-15,0.0
