Symbol,Name,SumWeights,Holders
SCHP,Schwab U.S. TIPs ETF,0.855,"[('IVOL', 0.855)]"
PSA,Public Storage,0.8530000000000002,"[('SPRE', 0.106), ('REZ', 0.102), ('NURE', 0.052), ('GQRE', 0.051), ('XLRE', 0.049)]"
HOLD,AdvisorShares North Square McKe,0.853,"[('HDGE', 0.462), ('DWSH', 0.391)]"
BIDU,Baidu Inc ADR,0.8440000000000002,"[('CHIC', 0.1), ('FNGS', 0.1), ('CQQQ', 0.084), ('PGJ', 0.08), ('LOUP', 0.051)]"
CMCSA,Comcast Corp Class A,0.8370000000000004,"[('JHCS', 0.063), ('IEME', 0.047), ('EWCO', 0.046), ('XLC', 0.044), ('FCOM', 0.043)]"
CRWD,CrowdStrike Holdings Inc Class A,0.8240000000000001,"[('VCLO', 0.249), ('LRNZ', 0.097), ('BUG', 0.066), ('CIBR', 0.064), ('WCBR', 0.053)]"
GS,Goldman Sachs Group Inc,0.8160000000000003,"[('IAI', 0.2), ('DIA', 0.072), ('DDM', 0.054), ('DIVO', 0.053), ('UDOW', 0.047)]"
CRM,Salesforce.com Inc,0.8140000000000004,"[('IGV', 0.082), ('DIA', 0.046), ('MBCC', 0.042), ('CLOU', 0.039), ('PNQI', 0.038)]"
NOVO B,Novo Nordisk A/S B,0.8130000000000004,"[('EDEN', 0.224), ('DNL', 0.038), ('OEUR', 0.038), ('AGNG', 0.034), ('DIVS', 0.031)]"
XLI,SPDR Select Sector Fund - Indus,0.811,"[('XLSR', 0.161), ('TDSC', 0.107), ('TDSD', 0.105), ('AESR', 0.101), ('TDSE', 0.099)]"
ENPH,Enphase Energy Inc,0.806,"[('TAN', 0.113), ('QCLN', 0.075), ('ICLN', 0.066), ('CTEC', 0.062), ('ACES', 0.061)]"
EFAV,iShares MSCI EAFE Min Vol Facto,0.797,"[('OVF', 0.797)]"
NFLX,Netflix Inc,0.7920000000000003,"[('FNGS', 0.1), ('SUBZ', 0.057), ('JHCS', 0.054), ('VIRS', 0.051), ('EWCO', 0.049)]"
IEFA,iShares Core MSCI EAFE ETF,0.7909999999999999,"[('ROMO', 0.298), ('TCTL', 0.222), ('FFSG', 0.159), ('OCIO', 0.044), ('QLS', 0.044)]"
RELIANCE.B,Reliance Industries Ltd Shs Dematerialised,0.782,"[('INDY', 0.1), ('FLIN', 0.099), ('INDA', 0.095), ('PIN', 0.093), ('IXSE', 0.074)]"
VGK,Vanguard FTSEEuropean ETF,0.778,"[('EURL', 0.589), ('EUCG', 0.118), ('MCRO', 0.043), ('QAI', 0.028)]"
DHR,Danaher Corp,0.7770000000000002,"[('IHI', 0.101), ('PIO', 0.084), ('PHO', 0.083), ('VIRS', 0.052), ('CWS', 0.045)]"
00939,China Construction Bank Corp Class H,0.7740000000000002,"[('CHIX', 0.092), ('KESG', 0.072), ('FXI', 0.054), ('FNDE', 0.031), ('DEM', 0.03)]"
COST,Costco Wholesale Corp,0.7700000000000002,"[('VDC', 0.066), ('FSTA', 0.065), ('FTXD', 0.061), ('JHMS', 0.059), ('GBLO', 0.052)]"
IBM,International Business Machines Corp,0.7640000000000002,"[('DJD', 0.086), ('TDIV', 0.08), ('WBIY', 0.06), ('RDIV', 0.052), ('GBDV', 0.046)]"
WMB,Williams Companies Inc,0.7639999999999999,"[('MLPX', 0.08), ('TPYP', 0.073), ('USAI', 0.072), ('FTXN', 0.07), ('EINC', 0.063)]"
GDX,VanEck Vectors Gold Miners ETF,0.7570000000000001,"[('NUGT', 0.562), ('FFTG', 0.147), ('RAAX', 0.048)]"
IWN,iShares Russell 2000 Value ETF,0.7549999999999999,"[('SMCP', 0.408), ('BOB', 0.347)]"
ULTR,IQ Ultra Short Duration ETF,0.7540000000000001,"[('MCRO', 0.26), ('CPI', 0.25), ('QAI', 0.159), ('GRES', 0.052), ('QMN', 0.033)]"
KMI,Kinder Morgan Inc Class P,0.752,"[('MLPX', 0.086), ('TPYP', 0.075), ('USAI', 0.072), ('EINC', 0.07), ('FTXN', 0.069)]"
BHP.AX,BHP Group Ltd ADR,0.7510000000000001,"[('PICK', 0.093), ('FLAU', 0.08), ('BATT', 0.061), ('IHDG', 0.059), ('IQDG', 0.058)]"
XLV,SPDR Select Sector Fund - Healt,0.7489999999999999,"[('SSUS', 0.165), ('TDSA', 0.151), ('SECT', 0.107), ('TDSC', 0.101), ('AESR', 0.095)]"
TRP.TO,TC Energy Corp,0.7429999999999999,"[('MLPX', 0.085), ('EINC', 0.077), ('ENFR', 0.073), ('TPYP', 0.072), ('USAI', 0.07)]"
DUK,Duke Energy Corp,0.738,"[('XLU', 0.085), ('NLR', 0.081), ('FUTY', 0.073), ('VPU', 0.073), ('UTSL', 0.068)]"
TLRY.TO,Aphria Inc,0.732,"[('TOKE', 0.147), ('MJJ', 0.099), ('MJO', 0.099), ('YOLO', 0.091), ('MJ', 0.09)]"
SIE.DE,Siemens AG,0.7310000000000002,"[('DAX', 0.084), ('HEWG', 0.075), ('FLGR', 0.074), ('DBGR', 0.071), ('DXGE', 0.061)]"
DE,Deere & Co,0.7270000000000001,"[('VEGI', 0.199), ('FTAG', 0.104), ('HAP', 0.084), ('MOO', 0.083), ('CFCV', 0.047)]"
01299.HK,AIA Group Ltd,0.7180000000000003,"[('FLHK', 0.206), ('BBAX', 0.074), ('DINT', 0.049), ('AIA', 0.045), ('VIGI', 0.029)]"
EPD,Enterprise Products Partners LP,0.715,"[('AMZA', 0.132), ('AMLP', 0.101), ('MLPA', 0.096), ('ENFR', 0.087), ('EMLP', 0.076)]"
MELI.SA,MercadoLibre Inc,0.7120000000000002,"[('AGT', 0.251), ('ARGT', 0.251), ('EWEB', 0.043), ('BUYZ', 0.04), ('KEMQ', 0.04)]"
BNDX,Vanguard Total International Bo,0.7030000000000001,"[('BNDW', 0.525), ('FAIL', 0.136), ('GAA', 0.042)]"
ANGL,VanEck Fallen Angel High Yield ,0.6960000000000001,"[('WBIT', 0.202), ('SNUG', 0.199), ('WBII', 0.102), ('WIZ', 0.1), ('DFHY', 0.093)]"
SE.SI,Sea Ltd ADR,0.687,"[('WUGI', 0.076), ('HERO', 0.068), ('ESPO', 0.067), ('BUYZ', 0.06), ('FPXI', 0.054)]"
ALV.DE,Allianz SE,0.6830000000000002,"[('DAX', 0.072), ('DXGE', 0.065), ('FLGR', 0.065), ('HEWG', 0.064), ('DBGR', 0.061)]"
FXR,First Trust Industrials AlphaDE,0.6829999999999999,"[('FV', 0.204), ('FVC', 0.204), ('WIZ', 0.144), ('DALI', 0.131)]"
DLR,Digital Realty Trust Inc,0.679,"[('VPN', 0.095), ('FPRO', 0.076), ('ERTH', 0.045), ('XLRE', 0.045), ('SRVR', 0.043)]"
XLP,SPDR Select Sector Fund - Consu,0.678,"[('FFHG', 0.253), ('MPRO', 0.15), ('TDSB', 0.1), ('EQL', 0.09), ('SSUS', 0.058)]"
ORCL,Oracle Corp,0.6770000000000003,"[('IGV', 0.057), ('PKW', 0.052), ('ZIG', 0.048), ('PSJ', 0.046), ('TDIV', 0.039)]"
UNP,Union Pacific Corp,0.6720000000000002,"[('IYT', 0.093), ('TPOR', 0.07), ('VNSE', 0.051), ('INFR', 0.05), ('XLI', 0.047)]"
NTES,NetEase Inc ADR,0.6670000000000001,"[('CHIC', 0.102), ('HERO', 0.068), ('ESPO', 0.051), ('EWEB', 0.048), ('ECON', 0.045)]"
600519,Kweichow Moutai Co Ltd,0.666,"[('KBUY', 0.154), ('AFTY', 0.105), ('CHIS', 0.092), ('CNYA', 0.063), ('ASHR', 0.06)]"
AZN.L,AstraZeneca PLC ADR,0.6650000000000003,"[('HEWU', 0.064), ('FLGB', 0.055), ('PPH', 0.052), ('AGNG', 0.034), ('SDG', 0.033)]"
GSK.L,GlaxoSmithKline PLC,0.6640000000000003,"[('FDD', 0.062), ('HEWU', 0.04), ('IQDG', 0.039), ('EUDG', 0.038), ('IHDG', 0.038)]"
GLDM,SPDR Gold MiniShares Trust,0.656,"[('RPAR', 0.656)]"
AMD,Advanced Micro Devices Inc,0.655,"[('WUGI', 0.086), ('ESPO', 0.081), ('FIVG', 0.057), ('PSI', 0.057), ('SMH', 0.05)]"
