Symbol,Name,SumWeights,Holders,DiffEntries,DiffValue
PMT,PennyMac Mortgage Investment Trust,0.079,"[('MORT', 0.044), ('SRET', 0.035)]",33,0.0
ZENITH,Zenith Bank PLC,0.079,"[('NGE', 0.079)]",33,0.0
CLNX.BC,Cellnex Telecom SA,0.079,"[('SRVR', 0.046), ('TOLZ', 0.026), ('RBIN', 0.007)]",33,0.0
DPZ,Domino's Pizza Inc,0.07800000000000001,"[('EATZ', 0.045), ('LEAD', 0.025), ('RBUS', 0.008)]",33,0.0
ATW,Attijariwafa Bank SA Registered Shares,0.078,"[('AFK', 0.054), ('FM', 0.024)]",33,0.0
U11.SI,United Overseas Bank Ltd,0.078,"[('ASEA', 0.065), ('HDMV', 0.013)]",33,0.0
000333,Midea Group Co Ltd Class A,0.078,"[('KBUY', 0.061), ('ASHR', 0.017)]",33,0.0
AMRS,Amyris Inc,0.078,"[('THCX', 0.047), ('BFTR', 0.031)]",33,0.0
BMRN,Biomarin Pharmaceutical Inc,0.078,"[('GNOM', 0.039), ('BTEC', 0.02), ('FXH', 0.019)]",33,0.0
SEM,Select Medical Holdings Corp,0.078,"[('PSCH', 0.036), ('CALF', 0.021), ('SIXS', 0.015), ('PLTL', 0.006)]",33,0.0
TMDX,TransMedics Group Inc,0.078,"[('CBLS', 0.064), ('XHE', 0.014)]",33,0.0
SMLR,Semler Scientific Inc,0.078,"[('CBLS', 0.046), ('CBSE', 0.032)]",33,0.0
1925,Daiwa House Industry Co Ltd,0.078,"[('DRW', 0.025), ('WPS', 0.021), ('VNQI', 0.017), ('ESGN', 0.015)]",33,0.0
VOT,Vanguard Mid-Cap Growth ETF,0.078,"[('DWAT', 0.078)]",33,0.0
BVN,Buenaventura Mining Co Inc ADR,0.078,"[('EPU', 0.041), ('SIL', 0.037)]",33,0.0
SIL.TO,SilverCrest Metals Inc,0.078,"[('SILJ', 0.041), ('FORH', 0.037)]",33,0.0
AMKR,Amkor Technology Inc,0.078,"[('FTXL', 0.043), ('JSML', 0.032), ('IUSS', 0.003)]",33,0.0
NYCB,New York Community Bancorp Inc,0.078,"[('FTXO', 0.078)]",33,0.0
500825.BO,Britannia Industries Ltd,0.078,"[('INCO', 0.078)]",33,0.0
PKN,Polski Koncern Naftowy ORLEN SA,0.077,"[('EPOL', 0.064), ('FEM', 0.013)]",33,0.0
TEF.BC,Telefonica SA,0.077,"[('FIDI', 0.025), ('ICOW', 0.021), ('FGD', 0.017), ('ESGN', 0.014)]",33,0.0
CHPT,ChargePoint Holdings Inc Ordinary Shares - Class A,0.077,"[('SIMS', 0.03), ('MOON', 0.025), ('SPXZ', 0.017), ('ETHO', 0.005)]",33,0.0
FUTR.L,Future PLC,0.077,"[('MRAD', 0.053), ('IMOM', 0.021), ('GWX', 0.003)]",33,0.0
VRSN,VeriSign Inc,0.077,"[('LSAT', 0.035), ('HUSV', 0.022), ('USMF', 0.013), ('ONEV', 0.007)]",33,0.0
EXPO,Exponent Inc,0.077,"[('PSCI', 0.026), ('XSHQ', 0.024), ('IJT', 0.009), ('SLYG', 0.009), ('VIOG', 0.009)]",33,0.0
GNL,Global Net Lease Inc,0.077,"[('KBWY', 0.048), ('XSHD', 0.029)]",33,0.0
NHI,National Health Investors Inc,0.077,"[('KBWY', 0.04), ('RDOG', 0.025), ('SMDV', 0.012)]",33,0.0
MSGS,Madison Square Garden Sports Corp Class A,0.077,"[('MVP', 0.077)]",33,0.0
HXL,Hexcel Corp,0.077,"[('ROKT', 0.039), ('XAR', 0.038)]",33,0.0
600111,China Northern Rare Earth (Group) High-Tech Co Ltd,0.074,"[('REMX', 0.074)]",33,0.0
GOAU4.SA,Metalurgica Gerdau SA Participating Preferred,0.07300000000000001,"[('BRF', 0.026), ('EWZS', 0.024), ('FBZ', 0.023)]",33,0.0
BACPL,Bank of America Corp 7 1/4 % Non-Cum Perp Conv Pfd Shs Series -L-,0.07300000000000001,"[('PFFD', 0.023), ('QCON', 0.023), ('PFF', 0.014), ('CWB', 0.013)]",33,0.0
9022,Central Japan Railway Co,0.07300000000000001,"[('ERTH', 0.04), ('INFR', 0.033)]",33,0.0
STMN,Straumann Holding AG,0.073,"[('PRNT', 0.055), ('BMED', 0.018)]",33,0.0
HEQ21,Lean Hog Future Aug 21,0.073,"[('DBA', 0.046), ('FUT', 0.027)]",33,0.0
500124.BO,Dr Reddy's Laboratories Ltd,0.073,"[('GLIN', 0.051), ('NFTY', 0.022)]",33,0.0
TOL,Toll Brothers Inc,0.073,"[('ITB', 0.031), ('HOMZ', 0.016), ('SYLD', 0.015), ('SDVY', 0.011)]",33,0.0
PSK,SPDR ICE Preferred Securities E,0.071,"[('INKM', 0.071)]",33,0.0
BPYU,Brookfield Property REIT Inc,0.071,"[('KBWY', 0.045), ('RDOG', 0.026)]",33,0.0
688036,Shenzhen Transsion Holdings Co Ltd Class A,0.071,"[('KSTR', 0.071)]",33,0.0
FSLY,Fastly Inc,0.068,"[('CLOU', 0.043), ('VCLO', 0.025)]",33,0.0
SHLS,Shoals Technologies Group Inc Ordinary Shares - Class A,0.068,"[('CNRG', 0.03), ('TAN', 0.029), ('PBD', 0.009)]",33,0.0
SBV1,Sugar No. 11 Futures Sept21,0.068,"[('DBA', 0.068)]",33,0.0
AC,Ayala Corporation,0.068,"[('EPHE', 0.068)]",33,0.0
