Bigram,Name,SumWeights
"('PSA', 'EQIX')","('Public Storage', 'Equinix Inc')",1.089800005
"('VWO', 'GLDM')","('Vanguard FTSE Emerging Markets ', 'SPDR Gold MiniShares Trust')",1.08959997
"('DUK', 'NEE')","('Duke Energy Corp', 'NextEra Energy Inc')",1.088700002
"('ZNU21', 'FGBLU21.DE')","('10 Year Treasury Note Future Sept 21', 'Euro Bund Future Sept 21')",1.0863999999999998
"('VTR', 'TPIXX')","('Ventas Inc', 'State Street Instl Trs Pls MMkt Premier')",1.0844
"('AVB', 'TPIXX')","('AvalonBay Communities Inc', 'State Street Instl Trs Pls MMkt Premier')",1.0814000000000001
"('ALV.DE', 'SIE.DE')","('Allianz SE', 'Siemens AG')",1.079999998
"('FXR', 'FXD')","('First Trust Industrials AlphaDE', 'First Trust Cons. Discret. Alph')",1.07679999
"('FXR', 'FTXR')","('First Trust Industrials AlphaDE', 'First Trust Nasdaq Transportati')",1.0762999999999998
"('FTXR', 'FXD')","('First Trust Nasdaq Transportati', 'First Trust Cons. Discret. Alph')",1.07529999
"('FGBLU21.DE', 'CGBU21.TO')","('Euro Bund Future Sept 21', '10 Year Government of Canada Bond Future Sept 21')",1.0732
"('PG', 'JPM')","('Procter & Gamble Co', 'JPMorgan Chase & Co')",1.072299999
"('XLC', 'XLF')","('The Communication Services Sele', 'SPDR Select Sector Fund - Finan')",1.069600019
"('SQ', 'PYPL')","('Square Inc A', 'PayPal Holdings Inc')",1.065999997
"('ELS', 'TPIXX')","('Equity Lifestyle Properties Inc', 'State Street Instl Trs Pls MMkt Premier')",1.062099997
"('O', 'TPIXX')","('Realty Income Corp', 'State Street Instl Trs Pls MMkt Premier')",1.062000003
"('TSLA', 'HD')","('Tesla Inc', 'The Home Depot Inc')",1.0615000030000001
"('FXR', 'QTEC')","('First Trust Industrials AlphaDE', 'First Trust NASDAQ-100-Technolo')",1.0598999999999998
"('ZS', 'CRWD')","('Zscaler Inc', 'CrowdStrike Holdings Inc Class A')",1.059799989
"('QTEC', 'FXD')","('First Trust NASDAQ-100-Technolo', 'First Trust Cons. Discret. Alph')",1.05889999
"('FTXR', 'QTEC')","('First Trust Nasdaq Transportati', 'First Trust NASDAQ-100-Technolo')",1.0583999999999998
"('ET', 'EPD')","('Energy Transfer LP', 'Enterprise Products Partners LP')",1.056600007
"('CPT', 'TPIXX')","('Camden Property Trust', 'State Street Instl Trs Pls MMkt Premier')",1.0563
"('EXR', 'TPIXX')","('Extra Space Storage Inc', 'State Street Instl Trs Pls MMkt Premier')",1.0548000000000002
"('DLR', 'CCI')","('Digital Realty Trust Inc', 'Crown Castle International Corp')",1.054799986
"('SAP.DE', 'NESN')","('SAP SE', 'Nestle SA')",1.0500999992
"('TPIXX', 'LSI')","('State Street Instl Trs Pls MMkt Premier', 'Life Storage Inc')",1.0479
"('SHV', 'ULTR')","('iShares Short Treasury Bond ETF', 'IQ Ultra Short Duration ETF')",1.047000012
"('FXL', 'FXR')","('First Trust Technology AlphaDEX', 'First Trust Industrials AlphaDE')",1.0456000049999998
"('FXL', 'FXD')","('First Trust Technology AlphaDEX', 'First Trust Cons. Discret. Alph')",1.044599995
