Bigram,Name,NumAppearances,Holders
"('FB', 'PYPL')","('Facebook Inc A', 'PayPal Holdings Inc')",25,"[('PNQI', 0.162), ('TCHP', 0.093), ('PLAT', 0.084), ('IGM', 0.083), ('WEBL', 0.082)]"
"('AZN.L', 'ULVR.L')","('AstraZeneca PLC ADR', 'Unilever PLC')",25,"[('HEWU', 0.127), ('FLGB', 0.11), ('IDHQ', 0.052), ('EASG', 0.035), ('IEV', 0.029)]"
"('AZN.L', 'MC.PA')","('AstraZeneca PLC ADR', 'LVMH Moet Hennessy Louis Vuitton SE')",25,"[('IEV', 0.034), ('BBEU', 0.033), ('DBEU', 0.033), ('FLEE', 0.03), ('FLEH', 0.03)]"
"('NOVN', 'SAP.DE')","('Novartis AG', 'SAP SE')",25,"[('OEUR', 0.053), ('IEV', 0.035), ('BBEU', 0.034), ('FIVA', 0.031), ('DBEU', 0.03)]"
"('SAP.DE', 'ULVR.L')","('SAP SE', 'Unilever PLC')",25,"[('IHDG', 0.089), ('IQDG', 0.088), ('OEUR', 0.058), ('IDHQ', 0.055), ('EASG', 0.034)]"
"('MSFT', 'PG')","('Microsoft Corp', 'Procter & Gamble Co')",25,"[('IOO', 0.132), ('SPUS', 0.119), ('SUSL', 0.118), ('USSG', 0.117), ('DSI', 0.113)]"
"('HD', 'JNJ')","('The Home Depot Inc', 'Johnson & Johnson')",25,"[('OUSA', 0.098), ('VIRS', 0.096), ('QDEF', 0.066), ('VIG', 0.066), ('RECS', 0.058)]"
"('CVX', 'XOM')","('Chevron Corp', 'Exxon Mobil Corp')",25,"[('VDE', 0.385), ('FENY', 0.383), ('ERX', 0.374), ('DIG', 0.316), ('IXC', 0.249)]"
"('JNJ', 'V')","('Johnson & Johnson', 'Visa Inc Class A')",25,"[('DIVO', 0.111), ('SHE', 0.084), ('QLV', 0.074), ('VIG', 0.069), ('PFM', 0.056)]"
"('00939', '09988')","('China Construction Bank Corp Class H', 'Alibaba Group Holding Ltd Ordinary Shares')",24,"[('MCHI', 0.155), ('FLCH', 0.15), ('FXI', 0.146), ('AIA', 0.134), ('KALL', 0.118)]"
"('ASML', 'NOVO B')","('ASML Holding NV ADR', 'Novo Nordisk A/S B')",24,"[('IDHQ', 0.09), ('OEUR', 0.075), ('IQLT', 0.062), ('RFEU', 0.062), ('EASG', 0.049)]"
"('NESN', 'NOVO B')","('Nestle SA', 'Novo Nordisk A/S B')",24,"[('OEUR', 0.082), ('IDHQ', 0.079), ('QLVD', 0.071), ('DIVS', 0.06), ('IQLT', 0.056)]"
"('AAPL', 'PG')","('Apple Inc', 'Procter & Gamble Co')",24,"[('HLAL', 0.186), ('IOO', 0.138), ('SPUS', 0.124), ('QDF', 0.109), ('SPHQ', 0.098)]"
"('AMZN', 'HD')","('Amazon.com Inc', 'The Home Depot Inc')",24,"[('XLY', 0.316), ('VCR', 0.291), ('FDIS', 0.29), ('IEDI', 0.246), ('UCC', 0.235)]"
"('AMZN', 'UNH')","('Amazon.com Inc', 'UnitedHealth Group Inc')",23,"[('CACG', 0.126), ('LRGE', 0.117), ('VNSE', 0.1), ('SCHG', 0.099), ('IVLC', 0.086)]"
"('CSCO', 'MSFT')","('Cisco Systems Inc', 'Microsoft Corp')",23,"[('IYW', 0.19), ('FTEC', 0.184), ('VGT', 0.184), ('AVDG', 0.161), ('OUSA', 0.089)]"
"('BRK.B', 'JNJ')","('Berkshire Hathaway Inc Class B', 'Johnson & Johnson')",23,"[('FLV', 0.102), ('IWX', 0.073), ('MGV', 0.069), ('USMC', 0.062), ('VTV', 0.056)]"
"('BAC', 'WFC')","('Bank of America Corp', 'Wells Fargo & Co')",23,"[('KBWB', 0.166), ('IYG', 0.122), ('XLF', 0.121), ('DFNL', 0.107), ('FNCL', 0.101)]"
